mode,subset,comparison,metric,point_estimate,ci_lower,ci_upper,n_apples
native,all_locations,tfp_vs_umass,wis_ratio,1.0810509291458519,1.0098877442908067,1.1121257511570728,4119
native,all_locations,tfp_vs_umass,mae_ratio,0.8956206425972913,0.8212777688100407,0.9304345683387181,4119
native,all_locations,tfp_vs_cdc,wis_ratio,1.067429370382628,1.0004697666960505,1.099057894932007,4119
native,all_locations,tfp_vs_cdc,mae_ratio,0.8711698910968192,0.8124256350399549,0.9005836067146197,4119
native,all_locations,tfp_vs_naive,wis_ratio,0.6913844021283918,0.685445301495832,0.7070776074382322,4119
native,all_locations,tfp_vs_naive,mae_ratio,0.8025975313256956,0.7939563389620992,0.827146209331324,4119
native,all_locations,tfp_vs_snaive,wis_ratio,0.5107990297583013,0.48051020337930483,0.560616680301899,4119
native,all_locations,tfp_vs_snaive,mae_ratio,0.5929639705864256,0.5604899591404867,0.6532343395570265,4119
native,us_national,tfp_vs_umass,wis_ratio,1.1205200603823708,0.9185094748087838,1.4089403917386771,78
native,us_national,tfp_vs_cdc,wis_ratio,1.1177415956625747,0.9364493080499532,1.3625237656399625,78
