Domain,Method,Cov50,Cov80,Cov90,Cov95,MeanWIS,Width90,N
Bass Tech,conformal,0.4878048780487805,0.6341463414634146,0.7235772357723578,,38.66660178419664,14.811199188690251,123
Bass Tech,empirical,1.0,1.0,1.0,,112.56811980548018,91.50581300813008,123
Covid Hosp,conformal,0.8506666666666667,0.9973333333333333,1.0,,379.88009471425823,1257.885036217949,1500
Covid Hosp,empirical,0.7773333333333333,1.0,1.0,,1685.3907885399817,1841.3196766666651,1500
Finance,conformal,0.5723809523809524,0.8666666666666667,0.9438095238095238,,51.54701848321037,34.09008089569136,1050
Finance,empirical,0.8161904761904762,0.9666666666666667,0.9895238095238095,,61.02081323397815,53.15014084279541,1050
Flu US,conformal,0.8559748427672956,0.9974842767295597,1.0,,363.27863899077335,1207.579160014514,1590
Flu US,empirical,0.789937106918239,1.0,1.0,,1614.3969421059335,1764.4144622641495,1590
Kaggle Store,conformal,0.7723333333333333,0.9593333333333334,0.9903333333333333,,83.3490376818702,79.94095729166668,3000
Kaggle Store,empirical,0.7716666666666666,0.929,0.9623333333333334,,80.2708863548718,71.2803,3000
M4 Daily,conformal,0.6403333333333333,0.868,0.9223333333333333,,977.6119401137125,1033.7050383590893,3000
M4 Daily,empirical,0.8823333333333333,0.959,0.9706666666666667,,1818.8009350327623,1452.7188425568606,3000
M4 Monthly,conformal,0.6373333333333333,0.8916666666666667,0.957,,3380.015530605033,2703.330658428845,3000
M4 Monthly,empirical,0.7343333333333333,0.9266666666666666,0.9713333333333334,,3882.0506223252937,3038.3722771933335,3000
M4 Weekly,conformal,0.632,0.8771666666666667,0.9448333333333333,,1980.746696899163,1737.2728523055011,6000
M4 Weekly,empirical,0.8748333333333334,0.9546666666666667,0.9705,,2852.989120928995,2465.4639552674994,6000
M5 Retail,conformal,0.7036666666666667,0.9156666666666666,0.963,,10.84015509820032,10.190755128205131,3000
M5 Retail,empirical,0.45266666666666666,0.78,0.824,,11.315885432564103,6.416453333333332,3000
NYISO Load,conformal,0.6696969696969697,0.896969696969697,0.9606060606060606,,19790.533507528533,15051.475050687426,330
NYISO Load,empirical,1.0,1.0,1.0,,32608.970132564686,28145.23747580006,330
Wikipedia,conformal,0.6293333333333333,0.87,0.9383333333333334,,3793.1241052854134,4315.43870721154,3000
Wikipedia,empirical,0.5153333333333333,0.8193333333333334,0.9026666666666666,,4904.312838923846,2984.615399999999,3000
